Title,Views,Notes
Nursing Home Compare,175,"Department of Veterans Affairs —
Nursing Home Compare has detailed information about every Medicare and Medicaid nursing home in the country. A nursing home is a place for people who can’t be cared..."
National List of Beaches,175,"U.S. Environmental Protection Agency —
EPA has published a list of coastal recreation waters adjacent to beaches (or similar points of access) used by the public in the U.S. The list, required by the..."
NIST X-ray Photoelectron Spectroscopy Database - SRD 20,175,"National Institute of Standards and Technology —
NIST X-ray Photoelectron Spectroscopy Database XPS contains over 33,000 data records that can be used for the identification of unknown lines, retrieval of data for..."
Highway Performance Monitoring System (HPMS),174,"Department of Transportation —
HPMS compiles data on highway network extent, use, condition, and performance. The system consists of a geospatially-enabled database that is used to generate reports..."
"TIGER/Line Shapefile, Current, Nation, U.S., State and Equivalent Entities",174,"U.S. Census Bureau, Department of Commerce —
This resource is a member of a series. The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information..."
Civil Rights Data Collection (CRDC) for the 2015-16  school year,173,"Department of Education —
The Civil Rights Data Collection, 2015-16 (CRDC 2015-16) is part of the Civil Rights Data Collection (CRDC) program; program data are available beginning with the..."
Sugar-Sweetened Beverage Consumption in California Residents,173,"State of California —
The mean servings/times sugar-sweetened beverages consumed daily by California residents. These data are from the 2013 California Dietary Practices Surveys (CDPS),..."
National Inpatient Sample (NIS) - Restricted Access Files,173,"U.S. Department of Health & Human Services —
The Healthcare Cost and Utilization Project (HCUP) National Inpatient Sample (NIS) is the largest publicly available all-payer inpatient care database in the United..."
Daily Weather Records,172,"National Oceanic and Atmospheric Administration, Department of Commerce —
These daily weather records were compiled from a subset of stations in the Global Historical Climatological Network (GHCN)-Daily dataset. A weather record is..."
Amtrak On-Time Performance,170,"Department of Transportation —
Customer on-time performance is the percentage of customers who arrive at their detraining stations on time. An Acela train is late when it arrives at a station more..."
Electric Vehicle Charging Stations,170,"State of Connecticut —
Existing public Electric Vehicle (EV) charging stations within Connecticut from US DOE map found at https://afdc.energy.gov/stations/#/find/nearest complemented with..."
Iowa School Performance Profiles,170,"State of Iowa —
The Iowa School Performance Profiles is an online tool showing how public schools performed on required measures. The website was developed to meet both federal and..."
"Gender, Mental Illness, and Crime in the United States, 2004",169,"Department of Justice —
The purpose of the study was to examine the gendered effects of depression, drug use, and treatment on crime and the effects of interaction with the criminal justice..."
"Allegheny County Tax Liens (Filings, Satisfactions, and Current Status)",166,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
Tax liens are a method the government uses to secure an interest in unpaid tax debt. This dataset represents information about county, municipal, school district,..."
Find Shortage Areas: HPSA & MUA/P by Address,165,"U.S. Department of Health & Human Services —
The Find Shortage Areas: Health Professional Shortage Area (HPSA) and Medically Underserved Area/Population (MUA/P) by Address tool helps you determine if a specific..."
USEEIO v2.0.1-411,165,"U.S. Environmental Protection Agency —
This dataset provides the waste sector disaggregation data, model component matrices, model result matrices, model price adjustment matrices, demand vectors, and..."
Zoning by Address,165,"City of Austin —
Do not use this data to make zoning determinations. This data does not show all zoning regulations for an address, including overlays and situations where an address..."
Monthly and Annual Energy Consumption by Sector,163,"Department of Energy —
Monthly data since January 1973 and annual data since 1949 on U.S. primary and total energy consumption by end-use sector (residential, commercial, industrial,..."
Motor Carrier Registrations - Census Files,163,"Department of Transportation —
Registration information on interstate, intrastate non-hazmat, and intrastate truck and bus companies that operate in the United States and have registered with..."
"Infectious Diseases by Disease, County, Year, and Sex",163,"State of California —
These data contain case counts and rates for selected communicable diseases—listed in the data dictionary—that met the surveillance case definition for that disease..."
"Provisional COVID-19 death counts and rates by month, jurisdiction of residence, and demographic characteristics",162,"U.S. Department of Health & Human Services —
This file contains COVID-19 death counts and rates by month and year of death, jurisdiction of residence (U.S., HHS Region) and demographic characteristics (sex, age,..."
City and County Energy Profiles,161,"Department of Energy —
The City and County Energy Profiles lookup table provides modeled electricity and natural gas consumption and expenditures, on-road vehicle fuel consumption, vehicle..."
Drugs@FDA Database,160,"U.S. Department of Health & Human Services —
Information about FDA-approved brand name and generic prescription and over-the-counter human drugs and biological therapeutic products. Drugs@FDA includes most of..."
